plotID,MDFAnnZer,MDFAnnUnder0.1,HSPeak,MDFAnnHSNum,CVAnnHSNum,CVAnnHSPeak,LSMeanDur,LSPeak,MDFAnnLSNum,CVAnnLSNum,CVAnnLSPeak,CVAnnLSMeanDur,MRateRise,MRateFall,CVAnnMRateRise,CVAnnMRateFall,BFI,CVAnnBFI,C_MDFM,M_MDFM,MA 7daysMinMean,AS20YrARI,C_MinM,M_MinM
1,8.467,21.067,22.25968361,5.933,0.475,0.637,20.296,0.000261885,0.967,1.45,0.492,0.819,1.987576826,0.756340483,0.744,0.959,0.124,0.483,0.055,0.084,0.003805518,209.9861528,0.018,0.091
2,0,0.103,29.81145372,3.552,0.798,0.785,17.667,0.011290118,1.103,1.655,0.455,1.101,1.494359315,0.520657723,0.948,1.243,0.215,0.536,0.076,0.078,0.046477142,208.5875848,0.046,0.094
3,0,0,24.56407566,3.588,0.806,0.67,15.9,0.010389458,1.294,2.1,0.284,0.551,0.966674493,0.336065213,1.147,0.978,0.308,0.413,0.09,0.119,0.090320782,181.6280339,0.086,0.133
4,4.233,8.8,22.34967317,3.833,0.744,0.772,24.909,0.001654279,0.8,2.947,0.999,0.783,1.204441279,0.385090813,1.176,1.464,0.229,0.443,0.068,0.064,0.030615644,166.3964525,0.042,0.068
5,3.6,5.1,22.84350952,3.4,0.827,1.065,26.143,0.002364546,0.733,2.081,1.38,0.481,1.204744745,0.374323151,1.17,1.335,0.274,0.456,0.091,0.067,0.066770019,202.4580773,0.066,0.073
6,0.933,2.159,18.08030549,3,0.77,0.654,20.5,0.008084065,1.067,1.858,0.879,0.884,0.547149488,0.231004714,0.917,0.938,0.334,0.236,0.11,0.141,0.073051377,126.1955414,0.112,0.148
7,0,0,5.684781234,5.593,0.562,0.43,9.018,0.121824329,2.037,1.404,0.174,0.608,0.400305235,0.191219002,0.43,0.482,0.553,0.137,0.307,0.153,0.214145383,30.54283835,0.271,0.118
8,0,0,5.988522342,2.8,0.842,0.305,13.725,0.125181558,1.367,1.716,0.148,0.682,0.196552354,0.070785172,0.549,0.42,0.529,0.18,0.276,0.187,0.207296532,17.93922263,0.233,0.156
9,0,0,6.482178852,3.167,0.77,0.399,13.366,0.066841224,1.433,1.667,0.209,0.556,0.263394803,0.088921878,0.562,0.482,0.483,0.195,0.191,0.206,0.138782959,19.16928389,0.169,0.151
10,0,0,5.380620351,3.5,0.827,0.235,19.571,0.123200653,0.967,1.741,0.162,0.541,0.248419284,0.088600588,0.537,0.413,0.551,0.171,0.277,0.163,0.224319374,20.07711304,0.243,0.136
11,0.034,0.138,17.8173898,4.931,0.82,1.47,13.675,0.018918939,1.414,1.168,0.312,0.888,0.945507597,0.427625106,1.035,0.956,0.291,0.344,0.106,0.076,0.048998475,196.0393325,0.078,0.08
12,2.7,3.167,15.817581,4.933,0.841,1.226,10.148,0.007068894,1.933,1.394,0.558,0.654,0.977465583,0.465656895,0.987,1.02,0.271,0.411,0.103,0.081,0.056336043,187.5979706,0.064,0.085
13,57.8,69.267,24.53139717,4.867,0.727,0.671,61.929,0,1.1,1.335,0,0.768,1.872240222,0.800661345,0.806,0.973,0.14,0.585,0.136,0.093,0.006296135,193.6856358,0.116,0.085
14,0,0,7.381069205,4.3,0.653,0.516,14.811,0.106671233,1.267,1.856,0.199,1.213,0.40433721,0.140614516,0.702,0.607,0.5,0.187,0.247,0.172,0.176752498,21.69610639,0.175,0.139
15,17.533,31.8,21.01450758,4.133,0.654,0.509,9.2,0,2.033,2.022,3.317,1.277,0.867569724,0.294919277,1.082,1.189,0.146,0.553,0.052,0.082,0.01117227,110.016165,0.012,0.082
