plotID,stratum,species,avgcover
1,groundcover,Pittosporum spinescens,1
1,groundcover,Doodia aspera,9.6
1,groundcover,Adiantum hispidulum,1.2
1,groundcover,Gymnostachys anceps,1.2
1,groundcover,Lomandra longifolia,4
1,groundcover,Carex longebrachiata,1.6
1,groundcover,Commelina cyanea,0
1,groundcover,Eustrephus latifolius,1.8
1,groundcover,"tree seedlings (C. apetalum, T. laurina, A. smithii)",6
1,shrub,Guioa semiglauca,1.2
1,shrub,Pittosporum spinescens,1.8
1,shrub,Cryptocarya glaucescens,6.8
1,shrub,Doryphora sassafras,4.4
1,shrub,Acmena smithii,15.4
1,shrub,Ceratopetalum apetalum,8.6
1,shrub,Tristaniopsis laurina,2
1,shrub,Abrophyllum ornans,9.4
1,shrub,Waterhousea floribunda,4
1,shrub,Neolitsea dealbata,0.2
1,canopy,Doryphora sassafras,5.4
1,canopy,Acmena smithii,42
1,canopy,Ceratopetalum apetalum,3
1,canopy,Tristaniopsis laurina,15
1,canopy,Abrophyllum ornans,5
1,canopy,Waterhousea floribunda,10
2,groundcover,Coprosma quadrifida,10.4
2,groundcover,Adiantum aethiopicum,7
2,groundcover,Doodia aspera,28.6
2,groundcover,Carex polyantha,30
2,groundcover,Tristaniopsis laurina,2
2,groundcover,Dianella caerulea subsp. caerulea,1
2,groundcover,Oplismenus aemulus,0.4
2,groundcover,Tylophora barbata,0.2
2,groundcover,Blechnum nudum,3.2
2,groundcover,Lomandra longifolia,1.2
2,groundcover,Dichondra repens,0.6
2,shrub,Coprosma quadrifida,0.8
2,shrub,Tristaniopsis laurina,39
2,shrub,Smilax australis,0.8
2,shrub,Pittosporum revolutum,0.2
2,shrub,Notelaea venosa,0.2
2,canopy,Tristaniopsis laurina,49
3,groundcover,Pteridium esculentum,8.6
3,groundcover,Calochlaena dubia,23.4
3,groundcover,Blechnum nudum,2.4
3,groundcover,Lomandra longifolia,13.8
3,groundcover,Coprosma quadrifida,0.6
3,groundcover,Adiantum aethiopicum,2.4
3,groundcover,Anagallis arvensis,2.2
3,groundcover,Senecio prenanthoides,0.2
3,groundcover,Misc. forbs,0.6
3,groundcover,Rubus fruticosus agg.,0.4
3,groundcover,Rubus parvifolius,1
3,groundcover,Poa meionectes,17.2
3,groundcover,Misc. grasses,3
3,groundcover,Hydrocotyle peduncularis,0
3,groundcover,Dichondra repens,0.6
3,groundcover,Carex longebrachiata,0.2
3,shrub,Coprosma quadrifida,2
3,shrub,Pomaderris aspera,15.4
3,shrub,Senecio prenanthoides,2.6
3,shrub,Leptospermum brevipes,14.1
3,shrub,Acacia mearnsii,1
3,shrub,Cassinia aculeata,0.95
3,shrub,Lomatia myricoides,1
3,shrub,Acacia melanoxylon,1.6
3,shrub,Bursaria spinosa subsp. lasiophylla,0.8
3,shrub,Pteridium esculentum,4.4
3,subcanopy,Acacia mearnsii,0
3,subcanopy,Acacia melanoxylon,3.9
3,subcanopy,Pomaderris aspera,10
3,subcanopy,Leptospermum brevipes,1.2
3,subcanopy,Eucalyptus viminalis,0.6
3,canopy,Acacia melanoxylon,0.6
3,canopy,Acacia mearnsii,0.2
3,canopy,Eucalyptus viminalis,29
4,groundcover,Pellaea falcata,9
4,groundcover,Oplismenus aemulus,11.2
4,groundcover,Dichondra repens,1.7
4,groundcover,Pteridium esculentum,3.2
4,groundcover,Melicytus dentatus,2.25
4,groundcover,Acacia floribunda,0.2
4,groundcover,Tylophora barbata,0.2
4,groundcover,Carex longebrachiata,4.8
4,groundcover,Carex appressa,0.8
4,groundcover,Hydrocotyle peduncularis,0.4
4,groundcover,Hydrocotyle tripartita,0.2
4,groundcover,Microlaena stipoides,7.4
4,groundcover,Stellaria flaccida,1.2
4,groundcover,Glycine microphylla,0.2
4,groundcover,Coprosma quadrifida,0.8
4,groundcover,Conyza sumatrensis,0
4,groundcover,Misc. grasses,1.8
4,groundcover,Lomandra longifolia,5.2
4,groundcover,Doodia aspera,1.2
4,groundcover,Asplenium flabellifolium,1.4
4,groundcover,Urtica incisa,1
4,shrub,Pteridium esculentum,1.4
4,shrub,Bursaria spinosa subsp. spinosa,1.2
4,shrub,Melicytus dentatus,10
4,shrub,Acacia floribunda,10
4,shrub,Lomatia myricoides,1.9
4,shrub,Cassinia aculeata,0.6
4,shrub,Coprosma quadrifida,0.7
4,shrub,Casuarina cunninghamiana,0.4
4,shrub,Beyeria lasiocarpa,0.6
4,shrub,Notelaea longifolia,0.4
4,shrub,Cassinia trinerva,2
4,subcanopy,Acacia floribunda,4.4
4,subcanopy,Casuarina cunninghamiana,0.4
4,subcanopy,Eucalyptus cypellocarpa,0.4
4,canopy,Eucalyptus cypellocarpa,8
4,canopy,Casuarina cunninghamiana,36
4,canopy,Eucalyptus agglomerata,0.4
5,groundcover,Pteridium esculentum,0.2
5,groundcover,Carex longebrachiata,1
5,groundcover,Backhousia myrtifolia,1
5,groundcover,Oplismenus aemulus,0.8
5,groundcover,Acacia floribunda,0.2
5,groundcover,Melicytus dentatus,0.8
5,groundcover,Poa meionectes,2.1
5,groundcover,Dichondra repens,1.2
5,groundcover,Austrostipa ramosissima,2
5,groundcover,Entolasia marginata,0.8
5,groundcover,Pellaea falcata,0.2
5,groundcover,Lomandra longifolia,2.9
5,groundcover,Lepidosperma laterale,3.6
5,groundcover,Tristaniopsis laurina,1
5,groundcover,Microlaena stipoides,30
5,groundcover,Carex gaudichaudiana,0.2
5,groundcover,Entolasia stricta,1.4
5,groundcover,Misc. grasses,2
5,shrub,Backhousia myrtifolia,16.9
5,shrub,Acacia floribunda,10.4
5,shrub,Tristaniopsis laurina,14
5,shrub,Casuarina cunninghamiana,1
5,shrub,Melicytus dentatus,0.6
5,shrub,Eucalyptus elata,0
5,shrub,Acacia mearnsii,0.8
5,subcanopy,Backhousia myrtifolia,6
5,subcanopy,Acacia floribunda,1
5,subcanopy,Tristaniopsis laurina,7.2
5,subcanopy,Casuarina cunninghamiana,4
5,canopy,Casuarina cunninghamiana,16
5,canopy,Eucalyptus elata,3.4
