,metric,pval.linear,r2.linear,pval.quad,r2.quad,,,metric,p,padj,r2,model
value25,M_MinM,0.062275924,0.24239,0.187488964,0.24346,,,CVAnnBFI,0.008,0.031,0.549,Q
value24,C_MinM,0.003968277,0.48412,0.009177556,0.54243,,,CVAnnMRateRise,0.008,0.031,0.549,Q
value23,AS20YrARI,0.004967039,0.46714,0.021010077,0.4747,,,C_MinM,0.009,0.031,0.542,Q
value22,MA.7daysMinMean,0.016500632,0.36798,0.050297485,0.39244,,,C_MDFM,0.012,0.031,0.522,Q
value21,M_MDFM,0.013074111,0.38831,0.051335975,0.39036,,,HSPeak,0.004,0.031,0.485,L
value20,C_MDFM,0.004120145,0.48132,0.011861253,0.52245,,,AS20YrARI,0.005,0.031,0.467,L
value19,CVAnnBFI,0.006807504,0.44248,0.008407095,0.54907,,,LSPeak,0.006,0.031,0.447,L
value18,BFI,0.011864849,0.39663,0.023765316,0.4638,,,CVAnnMRateFall,0.007,0.031,0.435,L
value17,CVAnnMRateFall,0.007426925,0.43549,0.024411167,0.4614,,,BFI,0.012,0.031,0.397,L
value16,CVAnnMRateRise,0.007749164,0.43206,0.008465709,0.54855,,,M_MDFM,0.013,0.031,0.388,L
value15,MRateFall,0.053038525,0.25835,0.08122489,0.34192,,,MA.7daysMinMean,0.017,0.036,0.368,L
value14,MRateRise,0.017963615,0.36043,0.029351491,0.4446,,,MRateRise,0.018,0.036,0.360,L
value13,CVAnnLSMeanDur,0.732477127,0.0092967,0.837915809,0.029043,,,MDFAnnLSNum,0.030,0.055,0.314,L
value12,CVAnnLSPeak,0.38992439,0.057364,0.223765902,0.22083,,,MRateFall,0.053,0.091,0.258,L
value11,CVAnnLSNum,0.454216318,0.043779,0.718256195,0.053661,,,M_MinM,0.062,0.100,0.242,L
value10,MDFAnnLSNum,0.029869199,0.31379,0.078900591,0.34509,,,CVAnnHSPeak,0.117,0.175,0.178,L
value9,LSPeak,0.006424673,0.44708,0.028541898,0.44718,,,LSMeanDur,0.230,0.325,0.109,L
value8,LSMeanDur,0.230311262,0.10862,0.070633407,0.35706,,,CVAnnLSPeak,0.390,0.493,0.057,L
value7,CVAnnHSPeak,0.116808981,0.17838,0.10068974,0.31793,,,CVAnnHSNum,0.390,0.493,0.057,L
value6,CVAnnHSNum,0.390188183,0.057302,0.645507052,0.070356,,,CVAnnLSNum,0.454,0.545,0.044,L
value5,MDFAnnHSNum,0.746909928,0.0082903,0.330239855,0.16861,,,MDFAnnUnder0.1,0.487,0.556,0.038,L
value4,HSPeak,0.003898112,0.48545,0.018147913,0.48737,,,MDFAnnZer,0.553,0.603,0.028,L
value3,MDFAnnUnder0.1,0.486924866,0.037893,0.609339702,0.079247,,,CVAnnLSMeanDur,0.732,0.747,0.009,L
value2,MDFAnnZer,0.552698202,0.027782,0.615760465,0.077637,,,MDFAnnHSNum,0.747,0.747,0.008,L
