"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","CWV$CWV",5.51376534259067e-191,1,1.25355709736397e-174,1,1.37844133564767e-189,3.13389274340992e-173
"value25","M_MinM",0.631956907063083,0.019732,0.891815638498002,0.020602,0.831522246135635,0.928974623435418
"value24","C_MinM",0.0291943969007195,0.33806,0.0775852395816008,0.37174,0.21670856904855,0.285087548904198
"value23","AS20YrARI",0.114840553444625,0.19413,0.270157494002289,0.21176,0.385948523128837,0.621083146410511
"value22","MA.7daysMinMean",0.0361695509002532,0.31667,0.0912280156493434,0.35296,0.21670856904855,0.285087548904198
"value21","M_MDFM",0.305519229753846,0.08715,0.603386326473289,0.087762,0.45052871032152,0.754232908091611
"value20","C_MDFM",0.026994087955286,0.34576,0.0701581483569879,0.38313,0.21670856904855,0.285087548904198
"value19","CVAnnBFI",0.247322994462043,0.10972,0.273276584420625,0.21011,0.440121193629751,0.621083146410511
"value18","BFI",0.0635683484118853,0.2582,0.136265716725426,0.30399,0.264868118382855,0.378515879792849
"value17","CVAnnMRateFall",0.346874549009236,0.073972,0.0203201768632634,0.50756,0.481770206957272,0.151989667301496
"value16","CVAnnMRateRise",0.224646343735498,0.12018,0.0161415139648787,0.52775,0.440121193629751,0.151989667301496
"value15","MRateFall",0.264072716177851,0.10265,0.467880920084826,0.12899,0.440121193629751,0.672129189706261
"value14","MRateRise",0.306359523018634,0.086862,0.561524829727727,0.09961,0.45052871032152,0.738848460168062
"value13","CVAnnLSMeanDur",0.154379409251535,0.16147,0.312103325261311,0.1908,0.385948523128837,0.650215260961065
"value12","CVAnnLSPeak",0.232273421031449,0.11654,0.483933016588508,0.12363,0.440121193629751,0.672129189706261
"value11","CVAnnLSNum",0.256106803024688,0.10595,0.466368302066195,0.1295,0.440121193629751,0.672129189706261
"value10","MDFAnnLSNum",0.957496914994009,0.00024672,0.731197102942563,0.055332,0.957496914994009,0.870472741598289
"value9","LSPeak",0.04334171380971,0.29825,0.0879606067808035,0.35723,0.21670856904855,0.285087548904198
"value8","LSMeanDur",0.806236426089218,0.005213,0.94872211115694,0.0095251,0.916502720561828,0.94872211115694
"value7","CVAnnHSPeak",0.133554722340657,0.17749,0.341401566834087,0.17749,0.385948523128837,0.656541474680936
"value6","CVAnnHSNum",0.873977991698595,0.0021831,0.787907221298456,0.042415,0.923415094516689,0.895349115111882
"value5","MDFAnnHSNum",0.806522394094409,0.0051974,0.883519042248647,0.022265,0.916502720561828,0.928974623435418
"value4","HSPeak",0.152098025237071,0.16312,0.0243183467682393,0.49122,0.385948523128837,0.151989667301496
"value3","MDFAnnUnder0.1",0.67411694731273,0.015243,0.410551363795233,0.14944,0.842646184140913,0.672129189706261
"value2","MDFAnnZer",0.886478490736021,0.001769,0.427472127571817,0.14317,0.923415094516689,0.672129189706261
